Year,Jurisdiction,Industry,"Nominal GDP (1,000 Dollars)","Real GDP (1,000 Dollars)"
2010,Canada,All industries,1559053000,1709229500
2010,Canada,Forestry and logging,3642000,4144917
2010,Canada,Pulp and paper manufacturing,8583000,9807917
2010,Canada,Wood product manufacturing,6813000,8823833
2010,Alberta,All industries,261591000,264882800
2010,Alberta,Forestry and logging,331300,345600
2010,Alberta,Pulp and paper manufacturing,583100,732400
2010,Alberta,Wood product manufacturing,912400,1243800
2010,British Columbia,All industries,190873500,213022300
2010,British Columbia,Forestry and logging,1499300,1930700
2010,British Columbia,Pulp and paper manufacturing,1336700,1456400
2010,British Columbia,Wood product manufacturing,2247300,2891300
2010,Manitoba,All industries,49508300,56288500
2010,Manitoba,Forestry and logging,22600,24900
2010,Manitoba,Pulp and paper manufacturing,90500,140500
2010,Manitoba,Wood product manufacturing,131900,149300
2010,New Brunswick,All industries,27752900,31556500
2010,New Brunswick,Forestry and logging,274200,255500
2010,New Brunswick,Pulp and paper manufacturing,423300,426000
2010,New Brunswick,Wood product manufacturing,274400,352300
2010,Newfoundland and Labrador,All industries,27183000,29828500
2010,Newfoundland and Labrador,Forestry and logging,52100,51700
2010,Newfoundland and Labrador,Pulp and paper manufacturing,40100,78800
2010,Newfoundland and Labrador,Wood product manufacturing,23300,24300
2010,Northwest Territories,All industries,4677900,4448600
2010,Northwest Territories,Forestry and logging,200,100
2010,Northwest Territories,Pulp and paper manufacturing,0,0
2010,Northwest Territories,Wood product manufacturing,0,0
2010,Nova Scotia,All industries,33591000,37681800
2010,Nova Scotia,Forestry and logging,88500,99000
2010,Nova Scotia,Pulp and paper manufacturing,267300,170800
2010,Nova Scotia,Wood product manufacturing,152700,129700
2010,Nunavut,All industries,1890400,2121000
2010,Nunavut,Forestry and logging,0,0
2010,Nunavut,Pulp and paper manufacturing,0,0
2010,Nunavut,Wood product manufacturing,0,0
2010,Ontario,All industries,587627900,654982600
2010,Ontario,Forestry and logging,416600,458900
2010,Ontario,Pulp and paper manufacturing,2893800,3160900
2010,Ontario,Wood product manufacturing,1104800,1414000
2010,Prince Edward Island,All industries,4762200,5405200
2010,Prince Edward Island,Forestry and logging,4300,4800
2010,Prince Edward Island,Pulp and paper manufacturing,12900,21700
2010,Prince Edward Island,Wood product manufacturing,6600,6800
2010,Quebec,All industries,306664500,343887300
2010,Quebec,Forestry and logging,907900,919300
2010,Quebec,Pulp and paper manufacturing,2894300,3564100
2010,Quebec,Wood product manufacturing,1859100,2464700
2010,Saskatchewan,All industries,59948600,63970000
2010,Saskatchewan,Forestry and logging,44200,44000
2010,Saskatchewan,Pulp and paper manufacturing,41300,74400
2010,Saskatchewan,Wood product manufacturing,99500,92900
2010,Yukon,All industries,2227000,2470300
2010,Yukon,Forestry and logging,600,1500
2010,Yukon,Pulp and paper manufacturing,0,0
2010,Yukon,Wood product manufacturing,900,1200
2011,Canada,All industries,1662359000,1764972083
2011,Canada,Forestry and logging,3850000,4560083
2011,Canada,Pulp and paper manufacturing,8178000,9447083
2011,Canada,Wood product manufacturing,6529000,9049083
2011,Alberta,All industries,289920600,282733400
2011,Alberta,Forestry and logging,369800,386000
2011,Alberta,Pulp and paper manufacturing,578200,668200
2011,Alberta,Wood product manufacturing,975200,1437200
2011,British Columbia,All industries,202033200,219107400
2011,British Columbia,Forestry and logging,1726500,2284300
2011,British Columbia,Pulp and paper manufacturing,1540900,1502100
2011,British Columbia,Wood product manufacturing,2140800,3051500
2011,Manitoba,All industries,52461700,57583900
2011,Manitoba,Forestry and logging,25700,27400
2011,Manitoba,Pulp and paper manufacturing,85900,133300
2011,Manitoba,Wood product manufacturing,127500,151100
2011,New Brunswick,All industries,28908500,31624300
2011,New Brunswick,Forestry and logging,258600,250200
2011,New Brunswick,Pulp and paper manufacturing,407400,395400
2011,New Brunswick,Wood product manufacturing,269900,374500
2011,Newfoundland and Labrador,All industries,31614000,30710500
2011,Newfoundland and Labrador,Forestry and logging,45000,54700
2011,Newfoundland and Labrador,Pulp and paper manufacturing,45800,77900
2011,Newfoundland and Labrador,Wood product manufacturing,21800,22600
2011,Northwest Territories,All industries,4585000,4039300
2011,Northwest Territories,Forestry and logging,300,100
2011,Northwest Territories,Pulp and paper manufacturing,0,0
2011,Northwest Territories,Wood product manufacturing,400,300
2011,Nova Scotia,All industries,34263000,37799300
2011,Nova Scotia,Forestry and logging,84500,94000
2011,Nova Scotia,Pulp and paper manufacturing,200600,156100
2011,Nova Scotia,Wood product manufacturing,104400,122100
2011,Nunavut,All industries,2009200,2243800
2011,Nunavut,Forestry and logging,0,0
2011,Nunavut,Pulp and paper manufacturing,0,0
2011,Nunavut,Wood product manufacturing,0,0
2011,Ontario,All industries,616138500,672348000
2011,Ontario,Forestry and logging,399500,476100
2011,Ontario,Pulp and paper manufacturing,2649200,3029200
2011,Ontario,Wood product manufacturing,990700,1342300
2011,Prince Edward Island,All industries,4941800,5509400
2011,Prince Edward Island,Forestry and logging,4000,5500
2011,Prince Edward Island,Pulp and paper manufacturing,13500,23300
2011,Prince Edward Island,Wood product manufacturing,4800,5600
2011,Quebec,All industries,321047400,351206000
2011,Quebec,Forestry and logging,901300,945000
2011,Quebec,Pulp and paper manufacturing,2631000,3425700
2011,Quebec,Wood product manufacturing,1789100,2411200
2011,Saskatchewan,All industries,71287500,67403000
2011,Saskatchewan,Forestry and logging,34100,47200
2011,Saskatchewan,Pulp and paper manufacturing,24900,54000
2011,Saskatchewan,Wood product manufacturing,103700,105000
2011,Yukon,All industries,2398800,2591000
2011,Yukon,Forestry and logging,600,1100
2011,Yukon,Pulp and paper manufacturing,0,0
2011,Yukon,Wood product manufacturing,1500,1900
2012,Canada,All industries,1710440000,1797521500
2012,Canada,Forestry and logging,3937000,4471917
2012,Canada,Pulp and paper manufacturing,7466000,8882833
2012,Canada,Wood product manufacturing,7402000,9401083
2012,Alberta,All industries,302132000,294039200
2012,Alberta,Forestry and logging,413600,407300
2012,Alberta,Pulp and paper manufacturing,409000,627600
2012,Alberta,Wood product manufacturing,1092400,1538600
2012,British Columbia,All industries,206590600,224739900
2012,British Columbia,Forestry and logging,1860100,2342800
2012,British Columbia,Pulp and paper manufacturing,1299100,1366100
2012,British Columbia,Wood product manufacturing,2579300,3268800
2012,Manitoba,All industries,55676300,59308000
2012,Manitoba,Forestry and logging,24700,25700
2012,Manitoba,Pulp and paper manufacturing,82000,137800
2012,Manitoba,Wood product manufacturing,161500,171500
2012,New Brunswick,All industries,29117400,31248500
2012,New Brunswick,Forestry and logging,266400,247200
2012,New Brunswick,Pulp and paper manufacturing,397100,373100
2012,New Brunswick,Wood product manufacturing,295200,360000
2012,Newfoundland and Labrador,All industries,29977100,29341800
2012,Newfoundland and Labrador,Forestry and logging,40200,48400
2012,Newfoundland and Labrador,Pulp and paper manufacturing,44700,73900
2012,Newfoundland and Labrador,Wood product manufacturing,22100,22800
2012,Northwest Territories,All industries,4249900,4016600
2012,Northwest Territories,Forestry and logging,0,0
2012,Northwest Territories,Pulp and paper manufacturing,0,0
2012,Northwest Territories,Wood product manufacturing,300,300
2012,Nova Scotia,All industries,34477900,37443800
2012,Nova Scotia,Forestry and logging,71000,81600
2012,Nova Scotia,Pulp and paper manufacturing,84800,103300
2012,Nova Scotia,Wood product manufacturing,106100,111200
2012,Nunavut,All industries,2173100,2299600
2012,Nunavut,Forestry and logging,0,0
2012,Nunavut,Pulp and paper manufacturing,0,0
2012,Nunavut,Wood product manufacturing,0,0
2012,Ontario,All industries,634945200,682023200
2012,Ontario,Forestry and logging,360200,438700
2012,Ontario,Pulp and paper manufacturing,2423200,2992800
2012,Ontario,Wood product manufacturing,1095900,1372400
2012,Prince Edward Island,All industries,5090700,5560900
2012,Prince Edward Island,Forestry and logging,3900,5200
2012,Prince Edward Island,Pulp and paper manufacturing,19700,27200
2012,Prince Edward Island,Wood product manufacturing,5300,6200
2012,Quebec,All industries,328855500,355846900
2012,Quebec,Forestry and logging,843700,851200
2012,Quebec,Pulp and paper manufacturing,2677600,3187300
2012,Quebec,Wood product manufacturing,1882600,2375800
2012,Saskatchewan,All industries,73952200,68647400
2012,Saskatchewan,Forestry and logging,52400,49000
2012,Saskatchewan,Pulp and paper manufacturing,29300,51800
2012,Saskatchewan,Wood product manufacturing,159700,144700
2012,Yukon,All industries,2457600,2694100
2012,Yukon,Forestry and logging,600,1100
2012,Yukon,Pulp and paper manufacturing,0,0
2012,Yukon,Wood product manufacturing,1300,1700
2013,Canada,All industries,1781931000,1843482500
2013,Canada,Forestry and logging,3391000,4598917
2013,Canada,Pulp and paper manufacturing,7419000,8501917
2013,Canada,Wood product manufacturing,8785000,10069917
2013,Alberta,All industries,331477200,310990000
2013,Alberta,Forestry and logging,313200,414400
2013,Alberta,Pulp and paper manufacturing,494900,594900
2013,Alberta,Wood product manufacturing,1434000,1773000
2013,British Columbia,All industries,214088800,230140600
2013,British Columbia,Forestry and logging,1644300,2532300
2013,British Columbia,Pulp and paper manufacturing,1232000,1270200
2013,British Columbia,Wood product manufacturing,3130700,3522800
2013,Manitoba,All industries,57869000,60898900
2013,Manitoba,Forestry and logging,25500,24000
2013,Manitoba,Pulp and paper manufacturing,90400,124600
2013,Manitoba,Wood product manufacturing,197300,192000
2013,New Brunswick,All industries,29166000,31140700
2013,New Brunswick,Forestry and logging,218800,244900
2013,New Brunswick,Pulp and paper manufacturing,373200,469500
2013,New Brunswick,Wood product manufacturing,325200,368200
2013,Newfoundland and Labrador,All industries,32403800,30819000
2013,Newfoundland and Labrador,Forestry and logging,50500,47700
2013,Newfoundland and Labrador,Pulp and paper manufacturing,36400,62000
2013,Newfoundland and Labrador,Wood product manufacturing,24300,23300
2013,Northwest Territories,All industries,4353100,4127600
2013,Northwest Territories,Forestry and logging,100,100
2013,Northwest Territories,Pulp and paper manufacturing,0,0
2013,Northwest Territories,Wood product manufacturing,300,300
2013,Nova Scotia,All industries,35123600,37341600
2013,Nova Scotia,Forestry and logging,55000,68300
2013,Nova Scotia,Pulp and paper manufacturing,101300,133200
2013,Nova Scotia,Wood product manufacturing,101600,121600
2013,Nunavut,All industries,2270700,2531800
2013,Nunavut,Forestry and logging,0,0
2013,Nunavut,Pulp and paper manufacturing,0,0
2013,Nunavut,Wood product manufacturing,0,0
2013,Ontario,All industries,649490100,691682600
2013,Ontario,Forestry and logging,323700,417200
2013,Ontario,Pulp and paper manufacturing,2449200,2857900
2013,Ontario,Wood product manufacturing,1269100,1482900
2013,Prince Edward Island,All industries,5257000,5666500
2013,Prince Edward Island,Forestry and logging,5100,5400
2013,Prince Edward Island,Pulp and paper manufacturing,18400,21900
2013,Prince Edward Island,Wood product manufacturing,5200,6400
2013,Quebec,All industries,338213800,360384300
2013,Quebec,Forestry and logging,715800,868000
2013,Quebec,Pulp and paper manufacturing,2595700,2964500
2013,Quebec,Wood product manufacturing,2102200,2447900
2013,Saskatchewan,All industries,78937400,73062600
2013,Saskatchewan,Forestry and logging,38100,34400
2013,Saskatchewan,Pulp and paper manufacturing,28400,50600
2013,Saskatchewan,Wood product manufacturing,194500,171100
2013,Yukon,All industries,2556200,2734700
2013,Yukon,Forestry and logging,600,1000
2013,Yukon,Pulp and paper manufacturing,0,0
2013,Yukon,Wood product manufacturing,400,1100
2014,Canada,All industries,1867754000,1895881583
2014,Canada,Forestry and logging,3728000,4783083
2014,Canada,Pulp and paper manufacturing,7927000,9001000
2014,Canada,Wood product manufacturing,8724000,10340083
2014,Alberta,All industries,365191100,329203400
2014,Alberta,Forestry and logging,359000,453300
2014,Alberta,Pulp and paper manufacturing,654000,661200
2014,Alberta,Wood product manufacturing,1277700,1703600
2014,British Columbia,All industries,225863300,238305600
2014,British Columbia,Forestry and logging,1721600,2490300
2014,British Columbia,Pulp and paper manufacturing,1509300,1470500
2014,British Columbia,Wood product manufacturing,3116700,3561200
2014,Manitoba,All industries,59499700,62077400
2014,Manitoba,Forestry and logging,32100,24600
2014,Manitoba,Pulp and paper manufacturing,99100,132000
2014,Manitoba,Wood product manufacturing,151900,165800
2014,New Brunswick,All industries,29650000,31165000
2014,New Brunswick,Forestry and logging,250300,269400
2014,New Brunswick,Pulp and paper manufacturing,369500,505000
2014,New Brunswick,Wood product manufacturing,353200,376300
2014,Newfoundland and Labrador,All industries,32136700,30483200
2014,Newfoundland and Labrador,Forestry and logging,56700,50000
2014,Newfoundland and Labrador,Pulp and paper manufacturing,58300,89800
2014,Newfoundland and Labrador,Wood product manufacturing,19300,20900
2014,Northwest Territories,All industries,4656500,4323500
2014,Northwest Territories,Forestry and logging,100,100
2014,Northwest Territories,Pulp and paper manufacturing,0,0
2014,Northwest Territories,Wood product manufacturing,300,300
2014,Nova Scotia,All industries,36258300,37736200
2014,Nova Scotia,Forestry and logging,66700,78700
2014,Nova Scotia,Pulp and paper manufacturing,123800,137400
2014,Nova Scotia,Wood product manufacturing,116500,129700
2014,Nunavut,All industries,2350900,2500100
2014,Nunavut,Forestry and logging,0,0
2014,Nunavut,Pulp and paper manufacturing,0,0
2014,Nunavut,Wood product manufacturing,0,0
2014,Ontario,All industries,676838400,708787600
2014,Ontario,Forestry and logging,383600,447400
2014,Ontario,Pulp and paper manufacturing,2246900,2758500
2014,Ontario,Wood product manufacturing,1323500,1617300
2014,Prince Edward Island,All industries,5332000,5686400
2014,Prince Edward Island,Forestry and logging,4800,5100
2014,Prince Edward Island,Pulp and paper manufacturing,23000,24900
2014,Prince Edward Island,Wood product manufacturing,5000,5800
2014,Quebec,All industries,348098500,366088200
2014,Quebec,Forestry and logging,814400,927600
2014,Quebec,Pulp and paper manufacturing,2812800,3195800
2014,Quebec,Wood product manufacturing,2167900,2535300
2014,Saskatchewan,All industries,78506400,74424500
2014,Saskatchewan,Forestry and logging,37700,38800
2014,Saskatchewan,Pulp and paper manufacturing,30000,56800
2014,Saskatchewan,Wood product manufacturing,191100,204600
2014,Yukon,All industries,2650300,2752500
2014,Yukon,Forestry and logging,1100,1100
2014,Yukon,Pulp and paper manufacturing,0,0
2014,Yukon,Wood product manufacturing,1300,2100
2015,Canada,All industries,1856809000,1912118250
2015,Canada,Forestry and logging,3985000,4838917
2015,Canada,Pulp and paper manufacturing,8581000,9366917
2015,Canada,Wood product manufacturing,8961000,10673833
2015,Alberta,All industries,311906000,317733100
2015,Alberta,Forestry and logging,392200,455200
2015,Alberta,Pulp and paper manufacturing,667500,707000
2015,Alberta,Wood product manufacturing,1287700,1676700
2015,British Columbia,All industries,231725300,243845500
2015,British Columbia,Forestry and logging,1831000,2481200
2015,British Columbia,Pulp and paper manufacturing,1537700,1532400
2015,British Columbia,Wood product manufacturing,3044200,3601800
2015,Manitoba,All industries,60958600,62936300
2015,Manitoba,Forestry and logging,29400,23600
2015,Manitoba,Pulp and paper manufacturing,106700,137300
2015,Manitoba,Wood product manufacturing,136300,147200
2015,New Brunswick,All industries,30602600,31418400
2015,New Brunswick,Forestry and logging,276600,296900
2015,New Brunswick,Pulp and paper manufacturing,438100,549000
2015,New Brunswick,Wood product manufacturing,369700,408500
2015,Newfoundland and Labrador,All industries,28924400,30153100
2015,Newfoundland and Labrador,Forestry and logging,60800,47700
2015,Newfoundland and Labrador,Pulp and paper manufacturing,60500,78800
2015,Newfoundland and Labrador,Wood product manufacturing,22800,23100
2015,Northwest Territories,All industries,4597500,4367700
2015,Northwest Territories,Forestry and logging,100,100
2015,Northwest Territories,Pulp and paper manufacturing,0,0
2015,Northwest Territories,Wood product manufacturing,300,300
2015,Nova Scotia,All industries,37028100,38025300
2015,Nova Scotia,Forestry and logging,69600,78600
2015,Nova Scotia,Pulp and paper manufacturing,130200,152500
2015,Nova Scotia,Wood product manufacturing,109300,130400
2015,Nunavut,All industries,2380400,2490000
2015,Nunavut,Forestry and logging,0,0
2015,Nunavut,Pulp and paper manufacturing,0,0
2015,Nunavut,Wood product manufacturing,0,0
2015,Ontario,All industries,706836600,727609600
2015,Ontario,Forestry and logging,426900,455000
2015,Ontario,Pulp and paper manufacturing,2352300,2868400
2015,Ontario,Wood product manufacturing,1472100,1708700
2015,Prince Edward Island,All industries,5551800,5768500
2015,Prince Edward Island,Forestry and logging,5300,5700
2015,Prince Edward Island,Pulp and paper manufacturing,24400,26700
2015,Prince Edward Island,Wood product manufacturing,4500,5200
2015,Quebec,All industries,357758800,369733700
2015,Quebec,Forestry and logging,852500,971800
2015,Quebec,Pulp and paper manufacturing,3235300,3291000
2015,Quebec,Wood product manufacturing,2314100,2725900
2015,Saskatchewan,All industries,75306200,73866100
2015,Saskatchewan,Forestry and logging,39900,41000
2015,Saskatchewan,Pulp and paper manufacturing,28400,51100
2015,Saskatchewan,Wood product manufacturing,199100,222300
2015,Yukon,All industries,2541700,2543400
2015,Yukon,Forestry and logging,900,1100
2015,Yukon,Pulp and paper manufacturing,0,0
2015,Yukon,Wood product manufacturing,800,1100
2016,Canada,All industries,1886103000,1931730250
2016,Canada,Forestry and logging,4086000,4579083
2016,Canada,Pulp and paper manufacturing,8607000,9122000
2016,Canada,Wood product manufacturing,9990000,11329833
2016,Alberta,All industries,292561700,306174000
2016,Alberta,Forestry and logging,402500,438800
2016,Alberta,Pulp and paper manufacturing,582400,707400
2016,Alberta,Wood product manufacturing,1400400,1693400
2016,British Columbia,All industries,243317100,251036300
2016,British Columbia,Forestry and logging,1984400,2275300
2016,British Columbia,Pulp and paper manufacturing,1395700,1428700
2016,British Columbia,Wood product manufacturing,3412700,3790200
2016,Manitoba,All industries,62289700,63878200
2016,Manitoba,Forestry and logging,24400,26800
2016,Manitoba,Pulp and paper manufacturing,122200,132300
2016,Manitoba,Wood product manufacturing,162800,179700
2016,New Brunswick,All industries,31222100,31708500
2016,New Brunswick,Forestry and logging,286900,313100
2016,New Brunswick,Pulp and paper manufacturing,495700,583200
2016,New Brunswick,Wood product manufacturing,399500,452900
2016,Newfoundland and Labrador,All industries,29005200,30619000
2016,Newfoundland and Labrador,Forestry and logging,55300,47100
2016,Newfoundland and Labrador,Pulp and paper manufacturing,57900,71400
2016,Newfoundland and Labrador,Wood product manufacturing,25500,25900
2016,Northwest Territories,All industries,4303700,4319400
2016,Northwest Territories,Forestry and logging,100,100
2016,Northwest Territories,Pulp and paper manufacturing,0,0
2016,Northwest Territories,Wood product manufacturing,200,300
2016,Nova Scotia,All industries,37795500,38542000
2016,Nova Scotia,Forestry and logging,67500,75900
2016,Nova Scotia,Pulp and paper manufacturing,119800,138400
2016,Nova Scotia,Wood product manufacturing,139400,137600
2016,Nunavut,All industries,2536300,2623600
2016,Nunavut,Forestry and logging,0,0
2016,Nunavut,Pulp and paper manufacturing,0,0
2016,Nunavut,Wood product manufacturing,0,0
2016,Ontario,All industries,733760700,743976200
2016,Ontario,Forestry and logging,420700,467100
2016,Ontario,Pulp and paper manufacturing,2564900,2820700
2016,Ontario,Wood product manufacturing,1677500,1866900
2016,Prince Edward Island,All industries,5803400,5892000
2016,Prince Edward Island,Forestry and logging,5400,6300
2016,Prince Edward Island,Pulp and paper manufacturing,27500,29000
2016,Prince Edward Island,Wood product manufacturing,5700,5900
2016,Quebec,All industries,368634600,375695600
2016,Quebec,Forestry and logging,793600,891100
2016,Quebec,Pulp and paper manufacturing,3191100,3181600
2016,Quebec,Wood product manufacturing,2553500,2931900
2016,Saskatchewan,All industries,71463800,73627800
2016,Saskatchewan,Forestry and logging,44500,48800
2016,Saskatchewan,Pulp and paper manufacturing,49900,73200
2016,Saskatchewan,Wood product manufacturing,213000,237800
2016,Yukon,All industries,2691400,2726900
2016,Yukon,Forestry and logging,900,1100
