Year,Jurisdiction,Sector,Number of jobs
2016,Yukon,Wood product manufacturing,5
2017,Canada,Forestry and logging,33015
2017,Canada,Paper manufacturing,57210
2017,Canada,Support activities for forestry,22410
2017,Canada,Wood product manufacturing,102120
2017,Alberta,Forestry and logging,3025
2017,Alberta,Paper manufacturing,2695
2017,Alberta,Support activities for forestry,1820
2017,Alberta,Wood product manufacturing,9185
2017,British Columbia,Forestry and logging,12970
2017,British Columbia,Paper manufacturing,8380
2017,British Columbia,Support activities for forestry,8440
2017,British Columbia,Wood product manufacturing,29400
2017,Manitoba,Forestry and logging,275
2017,Manitoba,Paper manufacturing,1290
2017,Manitoba,Support activities for forestry,485
2017,Manitoba,Wood product manufacturing,2485
2017,New Brunswick,Forestry and logging,2695
2017,New Brunswick,Paper manufacturing,3060
2017,New Brunswick,Support activities for forestry,935
2017,New Brunswick,Wood product manufacturing,5705
2017,Newfoundland and Labrador,Forestry and logging,315
2017,Newfoundland and Labrador,Paper manufacturing,380
2017,Newfoundland and Labrador,Support activities for forestry,150
2017,Newfoundland and Labrador,Wood product manufacturing,375
2017,Northwest Territories,Forestry and logging,5
2017,Northwest Territories,Paper manufacturing,0
2017,Northwest Territories,Support activities for forestry,170
2017,Northwest Territories,Wood product manufacturing,5
2017,Nova Scotia,Forestry and logging,800
2017,Nova Scotia,Paper manufacturing,1235
2017,Nova Scotia,Support activities for forestry,535
2017,Nova Scotia,Wood product manufacturing,1875
2017,Nunavut,Forestry and logging,0
2017,Nunavut,Paper manufacturing,0
2017,Nunavut,Support activities for forestry,0
2017,Nunavut,Wood product manufacturing,0
2017,Ontario,Forestry and logging,4230
2017,Ontario,Paper manufacturing,19150
2017,Ontario,Support activities for forestry,3090
2017,Ontario,Wood product manufacturing,18285
2017,Prince Edward Island,Forestry and logging,75
2017,Prince Edward Island,Paper manufacturing,310
2017,Prince Edward Island,Support activities for forestry,40
2017,Prince Edward Island,Wood product manufacturing,150
2017,Quebec,Forestry and logging,8200
2017,Quebec,Paper manufacturing,20420
2017,Quebec,Support activities for forestry,5825
2017,Quebec,Wood product manufacturing,32890
2017,Saskatchewan,Forestry and logging,395
2017,Saskatchewan,Paper manufacturing,290
2017,Saskatchewan,Support activities for forestry,895
2017,Saskatchewan,Wood product manufacturing,1760
2017,Yukon,Forestry and logging,30
2017,Yukon,Paper manufacturing,0
2017,Yukon,Support activities for forestry,25
2017,Yukon,Wood product manufacturing,5
2018,Canada,Forestry and logging,33495
2018,Canada,Paper manufacturing,56995
2018,Canada,Support activities for forestry,22810
2018,Canada,Wood product manufacturing,100415
2018,Alberta,Forestry and logging,3135
2018,Alberta,Paper manufacturing,2820
2018,Alberta,Support activities for forestry,1815
2018,Alberta,Wood product manufacturing,9360
2018,British Columbia,Forestry and logging,13535
2018,British Columbia,Paper manufacturing,8570
2018,British Columbia,Support activities for forestry,9120
2018,British Columbia,Wood product manufacturing,28875
2018,Manitoba,Forestry and logging,275
2018,Manitoba,Paper manufacturing,1335
2018,Manitoba,Support activities for forestry,490
2018,Manitoba,Wood product manufacturing,2435
2018,New Brunswick,Forestry and logging,2495
2018,New Brunswick,Paper manufacturing,3065
2018,New Brunswick,Support activities for forestry,965
2018,New Brunswick,Wood product manufacturing,5645
2018,Newfoundland and Labrador,Forestry and logging,305
2018,Newfoundland and Labrador,Paper manufacturing,345
2018,Newfoundland and Labrador,Support activities for forestry,155
2018,Newfoundland and Labrador,Wood product manufacturing,410
2018,Northwest Territories,Forestry and logging,5
2018,Northwest Territories,Paper manufacturing,0
2018,Northwest Territories,Support activities for forestry,165
2018,Northwest Territories,Wood product manufacturing,5
2018,Nova Scotia,Forestry and logging,795
2018,Nova Scotia,Paper manufacturing,1220
2018,Nova Scotia,Support activities for forestry,465
2018,Nova Scotia,Wood product manufacturing,1655
2018,Nunavut,Forestry and logging,0
2018,Nunavut,Paper manufacturing,0
2018,Nunavut,Support activities for forestry,0
2018,Nunavut,Wood product manufacturing,0
2018,Ontario,Forestry and logging,3915
2018,Ontario,Paper manufacturing,18775
2018,Ontario,Support activities for forestry,2670
2018,Ontario,Wood product manufacturing,17870
2018,Prince Edward Island,Forestry and logging,70
2018,Prince Edward Island,Paper manufacturing,315
2018,Prince Edward Island,Support activities for forestry,50
2018,Prince Edward Island,Wood product manufacturing,160
2018,Quebec,Forestry and logging,8555
2018,Quebec,Paper manufacturing,20260
2018,Quebec,Support activities for forestry,5980
2018,Quebec,Wood product manufacturing,32205
2018,Saskatchewan,Forestry and logging,380
2018,Saskatchewan,Paper manufacturing,290
2018,Saskatchewan,Support activities for forestry,905
2018,Saskatchewan,Wood product manufacturing,1790
2018,Yukon,Forestry and logging,30
2018,Yukon,Paper manufacturing,0
2018,Yukon,Support activities for forestry,30
2018,Yukon,Wood product manufacturing,5
2019,Canada,Forestry and logging,32045
2019,Canada,Paper manufacturing,54515
2019,Canada,Support activities for forestry,23435
2019,Canada,Wood product manufacturing,98485
2019,Alberta,Forestry and logging,2870
2019,Alberta,Paper manufacturing,2430
2019,Alberta,Support activities for forestry,2030
2019,Alberta,Wood product manufacturing,9220
2019,British Columbia,Forestry and logging,12870
2019,British Columbia,Paper manufacturing,8415
2019,British Columbia,Support activities for forestry,9540
2019,British Columbia,Wood product manufacturing,27535
2019,Manitoba,Forestry and logging,265
2019,Manitoba,Paper manufacturing,1365
2019,Manitoba,Support activities for forestry,445
2019,Manitoba,Wood product manufacturing,2505
2019,New Brunswick,Forestry and logging,2460
2019,New Brunswick,Paper manufacturing,3000
2019,New Brunswick,Support activities for forestry,905
2019,New Brunswick,Wood product manufacturing,5560
2019,Newfoundland and Labrador,Forestry and logging,265
2019,Newfoundland and Labrador,Paper manufacturing,340
2019,Newfoundland and Labrador,Support activities for forestry,155
2019,Newfoundland and Labrador,Wood product manufacturing,385
2019,Northwest Territories,Forestry and logging,10
2019,Northwest Territories,Paper manufacturing,0
2019,Northwest Territories,Support activities for forestry,175
2019,Northwest Territories,Wood product manufacturing,5
2019,Nova Scotia,Forestry and logging,785
2019,Nova Scotia,Paper manufacturing,1225
2019,Nova Scotia,Support activities for forestry,490
2019,Nova Scotia,Wood product manufacturing,1720
2019,Nunavut,Forestry and logging,0
2019,Nunavut,Paper manufacturing,0
2019,Nunavut,Support activities for forestry,0
2019,Nunavut,Wood product manufacturing,0
2019,Ontario,Forestry and logging,3910
2019,Ontario,Paper manufacturing,18265
2019,Ontario,Support activities for forestry,2590
2019,Ontario,Wood product manufacturing,17545
2019,Prince Edward Island,Forestry and logging,75
2019,Prince Edward Island,Paper manufacturing,305
2019,Prince Edward Island,Support activities for forestry,55
2019,Prince Edward Island,Wood product manufacturing,155
2019,Quebec,Forestry and logging,8130
2019,Quebec,Paper manufacturing,18860
2019,Quebec,Support activities for forestry,6060
2019,Quebec,Wood product manufacturing,32030
2019,Saskatchewan,Forestry and logging,375
2019,Saskatchewan,Paper manufacturing,310
2019,Saskatchewan,Support activities for forestry,935
2019,Saskatchewan,Wood product manufacturing,1825
2019,Yukon,Forestry and logging,30
2019,Yukon,Paper manufacturing,0
2019,Yukon,Support activities for forestry,55
2019,Yukon,Wood product manufacturing,0
2020,Canada,Forestry and logging,28125
2020,Canada,Paper manufacturing,48975
2020,Canada,Support activities for forestry,21555
2020,Canada,Wood product manufacturing,87930
2020,Alberta,Forestry and logging,3075
2020,Alberta,Paper manufacturing,2680
2020,Alberta,Support activities for forestry,1640
2020,Alberta,Wood product manufacturing,8735
2020,British Columbia,Forestry and logging,10320
2020,British Columbia,Paper manufacturing,6710
2020,British Columbia,Support activities for forestry,8995
2020,British Columbia,Wood product manufacturing,23130
2020,Manitoba,Forestry and logging,255
2020,Manitoba,Paper manufacturing,1385
2020,Manitoba,Support activities for forestry,425
2020,Manitoba,Wood product manufacturing,2140
2020,New Brunswick,Forestry and logging,2590
2020,New Brunswick,Paper manufacturing,2915
2020,New Brunswick,Support activities for forestry,905
2020,New Brunswick,Wood product manufacturing,5675
2020,Newfoundland and Labrador,Forestry and logging,240
2020,Newfoundland and Labrador,Paper manufacturing,300
2020,Newfoundland and Labrador,Support activities for forestry,140
2020,Newfoundland and Labrador,Wood product manufacturing,375
2020,Northwest Territories,Forestry and logging,10
2020,Northwest Territories,Paper manufacturing,0
2020,Northwest Territories,Support activities for forestry,170
2020,Northwest Territories,Wood product manufacturing,10
2020,Nova Scotia,Forestry and logging,650
2020,Nova Scotia,Paper manufacturing,965
2020,Nova Scotia,Support activities for forestry,485
2020,Nova Scotia,Wood product manufacturing,1620
2020,Nunavut,Forestry and logging,0
2020,Nunavut,Paper manufacturing,0
2020,Nunavut,Support activities for forestry,0
2020,Nunavut,Wood product manufacturing,0
2020,Ontario,Forestry and logging,3525
2020,Ontario,Paper manufacturing,16130
2020,Ontario,Support activities for forestry,2295
2020,Ontario,Wood product manufacturing,16070
2020,Prince Edward Island,Forestry and logging,75
2020,Prince Edward Island,Paper manufacturing,320
2020,Prince Edward Island,Support activities for forestry,40
2020,Prince Edward Island,Wood product manufacturing,160
2020,Quebec,Forestry and logging,6975
2020,Quebec,Paper manufacturing,17300
2020,Quebec,Support activities for forestry,5495
2020,Quebec,Wood product manufacturing,28420
2020,Saskatchewan,Forestry and logging,380
2020,Saskatchewan,Paper manufacturing,270
2020,Saskatchewan,Support activities for forestry,925
2020,Saskatchewan,Wood product manufacturing,1595
2020,Yukon,Forestry and logging,30
2020,Yukon,Paper manufacturing,0
2020,Yukon,Support activities for forestry,40
2020,Yukon,Wood product manufacturing,0
2021,Canada,Forestry and logging,31510
2021,Canada,Paper manufacturing,48215
2021,Canada,Support activities for forestry,23040
2021,Canada,Wood product manufacturing,98400
2021,Alberta,Forestry and logging,3475
2021,Alberta,Paper manufacturing,2800
2021,Alberta,Support activities for forestry,1800
2021,Alberta,Wood product manufacturing,9735
2021,British Columbia,Forestry and logging,12215
2021,British Columbia,Paper manufacturing,6975
2021,British Columbia,Support activities for forestry,9795
2021,British Columbia,Wood product manufacturing,25145
2021,Manitoba,Forestry and logging,270
2021,Manitoba,Paper manufacturing,1425
2021,Manitoba,Support activities for forestry,445
2021,Manitoba,Wood product manufacturing,2480
2021,New Brunswick,Forestry and logging,2675
2021,New Brunswick,Paper manufacturing,3040
2021,New Brunswick,Support activities for forestry,840
2021,New Brunswick,Wood product manufacturing,6350
2021,Newfoundland and Labrador,Forestry and logging,255
2021,Newfoundland and Labrador,Paper manufacturing,315
2021,Newfoundland and Labrador,Support activities for forestry,140
2021,Newfoundland and Labrador,Wood product manufacturing,455
2021,Northwest Territories,Forestry and logging,5
2021,Northwest Territories,Paper manufacturing,0
2021,Northwest Territories,Support activities for forestry,180
2021,Northwest Territories,Wood product manufacturing,15
2021,Nova Scotia,Forestry and logging,665
2021,Nova Scotia,Paper manufacturing,920
2021,Nova Scotia,Support activities for forestry,500
2021,Nova Scotia,Wood product manufacturing,1750
2021,Nunavut,Forestry and logging,0
2021,Nunavut,Paper manufacturing,0
2021,Nunavut,Support activities for forestry,0
2021,Nunavut,Wood product manufacturing,0
2021,Ontario,Forestry and logging,3640
2021,Ontario,Paper manufacturing,14815
2021,Ontario,Support activities for forestry,2535
2021,Ontario,Wood product manufacturing,18665
2021,Prince Edward Island,Forestry and logging,75
2021,Prince Edward Island,Paper manufacturing,320
2021,Prince Edward Island,Support activities for forestry,45
2021,Prince Edward Island,Wood product manufacturing,175
2021,Quebec,Forestry and logging,7780
2021,Quebec,Paper manufacturing,17370
2021,Quebec,Support activities for forestry,5730
2021,Quebec,Wood product manufacturing,31605
2021,Saskatchewan,Forestry and logging,435
2021,Saskatchewan,Paper manufacturing,235
2021,Saskatchewan,Support activities for forestry,985
2021,Saskatchewan,Wood product manufacturing,2010
2021,Yukon,Forestry and logging,20
2021,Yukon,Paper manufacturing,0
2021,Yukon,Support activities for forestry,45
2021,Yukon,Wood product manufacturing,15
2022,Canada,Forestry and logging,31925
2022,Canada,Paper manufacturing,48965
2022,Canada,Support activities for forestry,22945
2022,Canada,Wood product manufacturing,98665
2022,Alberta,Forestry and logging,3500
2022,Alberta,Paper manufacturing,2965
2022,Alberta,Support activities for forestry,1820
2022,Alberta,Wood product manufacturing,10150
2022,British Columbia,Forestry and logging,12215
2022,British Columbia,Paper manufacturing,6940
2022,British Columbia,Support activities for forestry,9500
2022,British Columbia,Wood product manufacturing,23895
2022,Manitoba,Forestry and logging,285
2022,Manitoba,Paper manufacturing,1445
2022,Manitoba,Support activities for forestry,435
2022,Manitoba,Wood product manufacturing,2775
2022,New Brunswick,Forestry and logging,2595
2022,New Brunswick,Paper manufacturing,2900
2022,New Brunswick,Support activities for forestry,820
2022,New Brunswick,Wood product manufacturing,6340
2022,Newfoundland and Labrador,Forestry and logging,260
2022,Newfoundland and Labrador,Paper manufacturing,365
2022,Newfoundland and Labrador,Support activities for forestry,130
2022,Newfoundland and Labrador,Wood product manufacturing,455
2022,Northwest Territories,Forestry and logging,10
2022,Northwest Territories,Paper manufacturing,0
2022,Northwest Territories,Support activities for forestry,180
2022,Northwest Territories,Wood product manufacturing,15
2022,Nova Scotia,Forestry and logging,660
2022,Nova Scotia,Paper manufacturing,1030
2022,Nova Scotia,Support activities for forestry,465
2022,Nova Scotia,Wood product manufacturing,1845
2022,Nunavut,Forestry and logging,0
2022,Nunavut,Paper manufacturing,0
2022,Nunavut,Support activities for forestry,0
2022,Nunavut,Wood product manufacturing,0
2022,Ontario,Forestry and logging,3945
2022,Ontario,Paper manufacturing,14790
2022,Ontario,Support activities for forestry,2735
2022,Ontario,Wood product manufacturing,18575
2022,Prince Edward Island,Forestry and logging,90
2022,Prince Edward Island,Paper manufacturing,345
2022,Prince Edward Island,Support activities for forestry,40
2022,Prince Edward Island,Wood product manufacturing,190
2022,Quebec,Forestry and logging,7900
2022,Quebec,Paper manufacturing,17935
2022,Quebec,Support activities for forestry,5790
2022,Quebec,Wood product manufacturing,32270
2022,Saskatchewan,Forestry and logging,445
2022,Saskatchewan,Paper manufacturing,250
2022,Saskatchewan,Support activities for forestry,990
2022,Saskatchewan,Wood product manufacturing,2145
2022,Yukon,Forestry and logging,20
2022,Yukon,Paper manufacturing,0
2022,Yukon,Support activities for forestry,40
2022,Yukon,Wood product manufacturing,10
2023,Canada,Forestry and logging,30535
2023,Canada,Paper manufacturing,48365
2023,Canada,Support activities for forestry,23820
2023,Canada,Wood product manufacturing,96625
2023,Alberta,Forestry and logging,3330
2023,Alberta,Paper manufacturing,2870
2023,Alberta,Support activities for forestry,1875
2023,Alberta,Wood product manufacturing,9985
2023,British Columbia,Forestry and logging,11010
2023,British Columbia,Paper manufacturing,6095
2023,British Columbia,Support activities for forestry,9855
2023,British Columbia,Wood product manufacturing,22270
2023,Manitoba,Forestry and logging,275
2023,Manitoba,Paper manufacturing,1535
2023,Manitoba,Support activities for forestry,420
2023,Manitoba,Wood product manufacturing,2850
2023,New Brunswick,Forestry and logging,2645
2023,New Brunswick,Paper manufacturing,2935
2023,New Brunswick,Support activities for forestry,820
2023,New Brunswick,Wood product manufacturing,6250
2023,Newfoundland and Labrador,Forestry and logging,250
2023,Newfoundland and Labrador,Paper manufacturing,390
2023,Newfoundland and Labrador,Support activities for forestry,125
2023,Newfoundland and Labrador,Wood product manufacturing,435
2023,Northwest Territories,Forestry and logging,15
2023,Northwest Territories,Paper manufacturing,0
2023,Northwest Territories,Support activities for forestry,175
2023,Northwest Territories,Wood product manufacturing,15
2023,Nova Scotia,Forestry and logging,645
2023,Nova Scotia,Paper manufacturing,1060
2023,Nova Scotia,Support activities for forestry,510
2023,Nova Scotia,Wood product manufacturing,1890
2023,Nunavut,Forestry and logging,0
2023,Nunavut,Paper manufacturing,0
2023,Nunavut,Support activities for forestry,0
2023,Nunavut,Wood product manufacturing,0
2023,Ontario,Forestry and logging,3885
2023,Ontario,Paper manufacturing,14425
2023,Ontario,Support activities for forestry,2840
2023,Ontario,Wood product manufacturing,18080
2023,Prince Edward Island,Forestry and logging,90
2023,Prince Edward Island,Paper manufacturing,330
2023,Prince Edward Island,Support activities for forestry,45
2023,Prince Edward Island,Wood product manufacturing,195
2023,Quebec,Forestry and logging,7915
2023,Quebec,Paper manufacturing,18460
2023,Quebec,Support activities for forestry,6125
2023,Quebec,Wood product manufacturing,32445
2023,Saskatchewan,Forestry and logging,455
2023,Saskatchewan,Paper manufacturing,265
2023,Saskatchewan,Support activities for forestry,990
2023,Saskatchewan,Wood product manufacturing,2200
2023,Yukon,Forestry and logging,20
2023,Yukon,Paper manufacturing,0
2023,Yukon,Support activities for forestry,40
2023,Yukon,Wood product manufacturing,10
