Year,Jurisdiction,Forest Product,Unit of measure,Value
2000,Canada,Lumber - hardwood,cubic metres,1572000
2000,Canada,Lumber - softwood,cubic metres,75213000
2000,Canada,Newsprint,tonnes,9221000
2000,Canada,Printing and writing paper,tonnes,6313000
2000,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,9685231
2000,Canada,Wood pulp,tonnes,26871000
2001,Canada,Lumber - hardwood,cubic metres,1598000
2001,Canada,Lumber - softwood,cubic metres,72036000
2001,Canada,Newsprint,tonnes,8373000
2001,Canada,Printing and writing paper,tonnes,6120000
2001,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,9989636
2001,Canada,Wood pulp,tonnes,24869000
2002,Canada,Lumber - hardwood,cubic metres,1851000
2002,Canada,Lumber - softwood,cubic metres,77953000
2002,Canada,Newsprint,tonnes,8455000
2002,Canada,Printing and writing paper,tonnes,6331000
2002,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,10380762
2002,Canada,Wood pulp,tonnes,25521000
2003,Canada,Lumber - hardwood,cubic metres,1840400
2003,Canada,Lumber - softwood,cubic metres,77530800
2003,Canada,Newsprint,tonnes,8487000
2003,Canada,Printing and writing paper,tonnes,6456000
2003,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,11090452
2003,Canada,Wood pulp,tonnes,25963000
2004,Canada,Lumber - hardwood,cubic metres,2001900
2004,Canada,Lumber - softwood,cubic metres,82759300
2004,Canada,Newsprint,tonnes,8180000
2004,Canada,Printing and writing paper,tonnes,7020000
2004,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,12168260
2004,Canada,Wood pulp,tonnes,26238000
2005,Canada,Lumber - hardwood,cubic metres,2015800
2005,Canada,Lumber - softwood,cubic metres,81142300
2005,Canada,Newsprint,tonnes,7770000
2005,Canada,Printing and writing paper,tonnes,6706000
2005,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,12216929
2005,Canada,Wood pulp,tonnes,25310000
2006,Canada,Lumber - hardwood,cubic metres,2048800
2006,Canada,Lumber - softwood,cubic metres,79172900
2006,Canada,Newsprint,tonnes,7122000
2006,Canada,Printing and writing paper,tonnes,6106000
2006,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,12393025
2006,Canada,Wood pulp,tonnes,23440000
2007,Canada,Lumber - hardwood,cubic metres,1858200
2007,Canada,Lumber - softwood,cubic metres,70549200
2007,Canada,Newsprint,tonnes,6640000
2007,Canada,Printing and writing paper,tonnes,5948000
2007,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,10180775
2007,Canada,Wood pulp,tonnes,22106000
2008,Canada,Lumber - hardwood,cubic metres,1565700
2008,Canada,Lumber - softwood,cubic metres,56002800
2008,Canada,Newsprint,tonnes,5993000
2008,Canada,Printing and writing paper,tonnes,5266000
2008,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,6611088
2008,Canada,Wood pulp,tonnes,20366000
2009,Canada,Lumber - hardwood,cubic metres,1219000
2009,Canada,Lumber - softwood,cubic metres,44232500
2009,Canada,Newsprint,tonnes,4378000
2009,Canada,Printing and writing paper,tonnes,4429000
2009,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,5385501
2009,Canada,Wood pulp,tonnes,17095000
2010,Canada,Lumber - hardwood,cubic metres,1524000
2010,Canada,Lumber - softwood,cubic metres,51915400
2010,Canada,Newsprint,tonnes,4639000
2010,Canada,Printing and writing paper,tonnes,4070000
2010,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,5992543
2010,Canada,Wood pulp,tonnes,18536000
2011,Canada,Lumber - hardwood,cubic metres,1471100
2011,Canada,Lumber - softwood,cubic metres,51935000
2011,Canada,Newsprint,tonnes,4382000
2011,Canada,Printing and writing paper,tonnes,3774000
2011,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,6247394
2011,Canada,Wood pulp,tonnes,18287000
2012,Canada,Lumber - hardwood,cubic metres,1276300
2012,Canada,Lumber - softwood,cubic metres,54544200
2012,Canada,Newsprint,tonnes,3874000
2012,Canada,Printing and writing paper,tonnes,3311000
2012,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,6695153
2012,Canada,Wood pulp,tonnes,17149000
2013,Canada,Lumber - hardwood,cubic metres,1388600
2013,Canada,Lumber - softwood,cubic metres,57510100
2013,Canada,Newsprint,tonnes,3972000
2013,Canada,Printing and writing paper,tonnes,3466000
2013,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,7132294
2013,Canada,Wood pulp,tonnes,17254000
2014,Canada,Lumber - hardwood,Cubic metres,1504000
2014,Canada,Lumber - softwood,Cubic metres,57776100
2014,Canada,Newsprint,tonnes,4014000
2014,Canada,Printing and writing paper,tonnes,3255000
2014,Canada,Structural panels (Plywood and Oriented Strandboard),cubic metres,7687126
2014,Canada,Wood pulp,tonnes,16960000
2015,Canada,Lumber - hardwood,Cubic metres,1724400
2015,Canada,Lumber - softwood,Cubic metres,62719400
2015,Canada,Newsprint,tonnes,3505000
2015,Canada,Printing and writing paper,tonnes,3036000
2015,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,7966764
2015,Canada,Wood pulp,tonnes,16551000
2016,Canada,Lumber - hardwood,Cubic metres,1600900
2016,Canada,Lumber - softwood,Cubic metres,65031400
2016,Canada,Newsprint,tonnes,3342000
2016,Canada,Printing and writing paper,tonnes,2995000
2016,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8728664
2016,Canada,Wood pulp,tonnes,16508000
2017,Canada,Lumber - hardwood,Cubic metres,1488800
2017,Canada,Lumber - softwood,Cubic metres,65129100
2017,Canada,Newsprint,tonnes,3054000
2017,Canada,Printing and writing paper,tonnes,2975000
2017,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8917148
2017,Canada,Wood pulp,tonnes,16297000
2018,Canada,Glue-laminated timber,Cubic metres,19910
2018,Canada,I-Joist,Cubic metres,223084
2018,Canada,Laminated veneer lumber,Cubic metres,6194
2018,Canada,Lumber - hardwood,Cubic metres,1250900
2018,Canada,Lumber - softwood,Cubic metres,64378500
2018,Canada,Newsprint,Tonnes,3001000
2018,Canada,Printing and writing paper,Tonnes,3053000
2018,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,9171115
2018,Canada,Total Oriented Strandboard,Cubic metres,7428745
2018,Canada,Total Plywood,Cubic metres,1742370
2018,Canada,Wood pulp,Tonnes,16183000
2019,Canada,Glue-laminated timber,Cubic metres,20441
2019,Canada,I-Joist,Cubic metres,220871
2019,Canada,Laminated veneer lumber,Cubic metres,5752
2019,Canada,Lumber - hardwood,Cubic metres,1032100
2019,Canada,Lumber - softwood,Cubic metres,56659300
2019,Canada,Newsprint,Tonnes,2678000
2019,Canada,Printing and writing paper,Tonnes,2612000
2019,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8453460
2019,Canada,Total Oriented Strandboard,Cubic metres,6752680
2019,Canada,Total Plywood,Cubic metres,1700780
2019,Canada,Wood pulp,Tonnes,15421000
2020,Canada,Glue-laminated timber,Cubic metres,20176
2020,Canada,I-Joist,Cubic metres,232729
2020,Canada,Laminated veneer lumber,Cubic metres,5663
2020,Canada,Lumber - hardwood,Cubic metres,997200
2020,Canada,Lumber - softwood,Cubic metres,54718300
2020,Canada,Newsprint,Tonnes,1957000
2020,Canada,Printing and writing paper,Tonnes,2266000
2020,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8301257
2020,Canada,Total Oriented Strandboard,Cubic metres,6628794
2020,Canada,Total Plywood,Cubic metres,1672463
2020,Canada,Wood pulp,Tonnes,14299000
2021,Canada,Glue-laminated timber,Cubic metres,21149
2021,Canada,I-Joist,Cubic metres,258745
2021,Canada,Laminated veneer lumber,Cubic metres,6371
2021,Canada,Lumber - hardwood,Cubic metres,880100
2021,Canada,Lumber - softwood,Cubic metres,55841700
2021,Canada,Newsprint,Tonnes,1888000
2021,Canada,Printing and writing paper,Tonnes,2434000
2021,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8938386
2021,Canada,Total Oriented Strandboard,Cubic metres,7240261
2021,Canada,Total Plywood,Cubic metres,1698125
2021,Canada,Wood pulp,Tonnes,14260000
2022,Canada,Glue-laminated timber,Cubic metres,23184
2022,Canada,I-Joist,Cubic metres,239012
2022,Canada,Laminated veneer lumber,Cubic metres,6283
2022,Canada,Lumber - hardwood,Cubic metres,873900
2022,Canada,Lumber - softwood,Cubic metres,50521200
2022,Canada,Newsprint,Tonnes,1838000
2022,Canada,Printing and writing paper,Tonnes,2599000
2022,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8872903
2022,Canada,Total Oriented Strandboard,Cubic metres,7269462
2022,Canada,Total Plywood,Cubic metres,1603441
2022,Canada,Wood pulp,Tonnes,13580000
2023,Canada,Glue-laminated timber,Cubic metres,19291
2023,Canada,I-Joist,Cubic metres,203970
2023,Canada,Laminated veneer lumber,Cubic metres,4513
2023,Canada,Lumber - hardwood,Cubic metres,875600
2023,Canada,Lumber - softwood,Cubic metres,47537800
2023,Canada,Newsprint,Tonnes,1763000
2023,Canada,Printing and writing paper,Tonnes,2002000
2023,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic metres,8423373
2023,Canada,Total Oriented Strandboard,Cubic metres,6819933
2023,Canada,Total Plywood,Cubic metres,1603441
2023,Canada,Wood pulp,Tonnes,12560000
