Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2000,Canada,Exports,Primary Wood Products,Logs (cubic metres),482583486
2000,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),5345182
2000,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),7210037133
2000,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7412225695
2000,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9890681681
2000,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),694995830
2000,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2022081393
2000,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),294133010
2000,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),550019607
2000,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11590643605
2000,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),430858987
2001,Canada,Exports,Primary Wood Products,Logs (cubic metres),478409582
2001,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),2845506
2001,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),7242802734
2001,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7645859778
2001,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7344881508
2001,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),636321634
2001,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1691279909
2001,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),327255408
2001,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),585480983
2001,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11066966161
2001,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),430096948
2002,Canada,Exports,Primary Wood Products,Logs (cubic metres),623653424
2002,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),6426207
2002,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),6331184495
2002,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7577514835
2002,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6998821026
2002,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),643014511
2002,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1771509237
2002,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),321350521
2002,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),632318357
2002,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),10363161665
2002,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),452144024
2003,Canada,Exports,Primary Wood Products,Logs (cubic metres),547699779
2003,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),12280172
2003,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5644172834
2003,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6747053196
2003,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6874611232
2003,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),608345285
2003,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2761137981
2003,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),297635087
2003,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),577879147
2003,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8461992352
2003,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),464094919
2004,Canada,Exports,Primary Wood Products,Logs (cubic metres),507593901
2004,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),9937258
2004,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5310967683
2004,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7373143275
2004,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7206720387
2004,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),653959932
2004,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3783603697
2004,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),291829330
2004,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),650670974
2004,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),11019199744
2004,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),558572615
2005,Canada,Exports,Primary Wood Products,Logs (cubic metres),604638350
2005,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),13227328
2005,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),5263927911
2005,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7338652610
2005,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6322918145
2005,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),641839326
2005,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3203530110
2005,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),257758949
2005,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),654259557
2005,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),9925649187
2005,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),523868148
2006,Canada,Exports,Primary Wood Products,Logs (cubic metres),544936728
2006,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),10355711
2006,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),4903052694
2006,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6658114792
2006,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6501468029
2006,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),544493068
2006,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2262277824
2006,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),188813617
2006,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),560801442
2006,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8779060190
2006,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),466523172
2007,Canada,Exports,Primary Wood Products,Logs (cubic metres),417693138
2007,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),12858439
2007,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),3999909306
2007,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6236956869
2007,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7113545948
2007,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),395147048
2007,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1272315306
2007,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),206014923
2007,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),445648211
2007,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),7084104492
2007,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),346844058
2008,Canada,Exports,Primary Wood Products,Logs (cubic metres),307311392
2008,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),11946653
2008,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),4264225995
2008,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6278909068
2008,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6986245123
2008,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),271504404
2008,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),709151204
2008,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),185685043
2008,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),327787221
2008,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),5098752861
2008,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),262143299
2009,Canada,Exports,Primary Wood Products,Logs (cubic metres),276766839
2009,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),8729082
2009,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2672363902
2009,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5443920232
2009,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),5075704546
2009,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),179023416
2009,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),549960647
2009,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),163188559
2009,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),229071915
2009,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3765497063
2009,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),199644946
2010,Canada,Exports,Primary Wood Products,Logs (cubic metres),394888548
2010,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),15282149
2010,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2652704950
2010,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4706270986
2010,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7013317343
2010,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),208076416
2010,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),725974081
2010,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),173307620
2010,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),188309927
2010,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),4842174265
2010,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),199510350
2011,Canada,Exports,Primary Wood Products,Logs (cubic metres),593270851
2011,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),26391457
2011,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2779573365
2011,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4540228931
2011,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7203021626
2011,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),199928856
2011,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),636500314
2011,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),158779868
2011,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),176568689
2011,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),5172695220
2011,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),184703621
2012,Canada,Exports,Primary Wood Products,Logs (cubic metres),599487183
2012,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),15109246
2012,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2322589907
2012,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4207712204
2012,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6428246257
2012,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),195323132
2012,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),883604872
2012,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),200932810
2012,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),171017893
2012,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),5726487969
2012,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),217562280
2013,Canada,Exports,Primary Wood Products,Logs (cubic metres),832262433
2013,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),4671899
2013,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2384195883
2013,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4413476705
2013,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6744735451
2013,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),245578258
2013,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1274086038
2013,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),237310998
2013,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),228893927
2013,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),7414230737
2013,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),253802915
2014,Canada,Exports,Primary Wood Products,Logs (cubic metres),818520266
2014,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),8477025
2014,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2594151930
2014,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4720251335
2014,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7209052750
2014,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),325132301
2014,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1146344180
2014,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),284555669
2014,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),277449589
2014,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8317386273
2014,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),282520724
2015,Canada,Exports,Primary Wood Products,Logs (cubic metres),706007985
2015,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),13880835
2015,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2334410074
2015,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4937946875
2015,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7682051669
2015,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),356746179
2015,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1291335296
2015,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),328469832
2015,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),357556127
2015,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8495484947
2015,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),354017780
2016,Canada,Exports,Primary Wood Products,Logs (cubic metres),820844708
2016,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),15011432
2016,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2203015018
2016,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4533432994
2016,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7203650042
2016,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),355951373
2016,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1741874476
2016,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),361621523
2016,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),431984003
2016,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),9972029289
2016,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),358078356
2017,Canada,Exports,Primary Wood Products,Logs (cubic metres),857688389
2017,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),19620814
2017,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1981794549
2017,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4677550160
2017,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7820749319
2017,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),380305750
2017,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1996514627
2017,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),354285268
2017,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),463246634
2017,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),10439403774
2017,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),382883053
2018,Canada,Exports,Primary Wood Products,Logs (cubic metres),849945752
2018,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),35655581
2018,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),2268883435
2018,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5287129506
2018,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),9362347395
2018,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),397781886
2018,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2252151820
2018,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),336468446
2018,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),497775007
2018,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),10224325396
2018,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),425896741
2019,Canada,Exports,Primary Wood Products,Logs (cubic metres),770763465
2019,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),39512800
2019,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1859781955
2019,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5095775418
2019,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7701821503
2019,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),420663689
2019,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1537866520
2019,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),353979935
2019,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),484752127
2019,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),7964554158
2019,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),354867952
2020,Canada,Exports,Primary Wood Products,Logs (cubic metres),435313947
2020,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),31005704
2020,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1289787785
2020,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4492679653
2020,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),6420505185
2020,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),346639770
2020,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2377865179
2020,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),297009654
2020,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),494462899
2020,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),10042965155
2020,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),353964996
2021,Canada,Exports,Primary Wood Products,Logs (cubic metres),622556573
2021,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),27097046
2021,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1354085192
2021,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4816164503
2021,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7295682464
2021,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),417414836
2021,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4828459763
2021,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),319007599
2021,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),651795099
2021,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),16434499887
2021,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),517570541
2022,Canada,Exports,Primary Wood Products,Logs (cubic metres),684417531
2022,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),32330771
2022,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1828670099
2022,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5879453154
2022,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),8478207298
2022,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),431010925
2022,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4020392207
2022,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),368400052
2022,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),707421820
2022,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),13649891620
2022,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),583451352
2023,Canada,Exports,Primary Wood Products,Logs (cubic metres),638797821
2023,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),24174538
2023,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1700702226
2023,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5378120731
2023,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7154604253
2023,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),326957349
2023,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2515365383
2023,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),331665402
2023,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),659270719
2023,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8440748208
2023,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),439609264
