Year,Jurisdiction,NAICS,Value
2001,Canada,Forestry and logging,58230
2001,Canada,Paper manufacturing,103420
2001,Canada,Support activities for forestry,20980
2001,Canada,Wood product manufacturing,151515
2001,Alberta,Forestry and logging,3080
2001,Alberta,Paper manufacturing,3800
2001,Alberta,Support activities for forestry,1650
2001,Alberta,Wood product manufacturing,10675
2001,British Columbia,Forestry and logging,22930
2001,British Columbia,Paper manufacturing,14175
2001,British Columbia,Support activities for forestry,8080
2001,British Columbia,Wood product manufacturing,43260
2001,Manitoba,Forestry and logging,610
2001,Manitoba,Paper manufacturing,2850
2001,Manitoba,Support activities for forestry,800
2001,Manitoba,Wood product manufacturing,4200
2001,New Brunswick,Forestry and logging,4725
2001,New Brunswick,Paper manufacturing,3795
2001,New Brunswick,Support activities for forestry,1300
2001,New Brunswick,Wood product manufacturing,7310
2001,Newfoundland and Labrador,Forestry and logging,1200
2001,Newfoundland and Labrador,Paper manufacturing,1660
2001,Newfoundland and Labrador,Support activities for forestry,285
2001,Newfoundland and Labrador,Wood product manufacturing,805
2001,Northwest Territories,Forestry and logging,30
2001,Northwest Territories,Paper manufacturing,0
2001,Northwest Territories,Support activities for forestry,165
2001,Northwest Territories,Wood product manufacturing,15
2001,Nova Scotia,Forestry and logging,2185
2001,Nova Scotia,Paper manufacturing,3025
2001,Nova Scotia,Support activities for forestry,645
2001,Nova Scotia,Wood product manufacturing,3580
2001,Ontario,Forestry and logging,8945
2001,Ontario,Paper manufacturing,38120
2001,Ontario,Support activities for forestry,2340
2001,Ontario,Wood product manufacturing,35425
2001,Prince Edward Island,Forestry and logging,105
2001,Prince Edward Island,Paper manufacturing,70
2001,Prince Edward Island,Support activities for forestry,55
2001,Prince Edward Island,Wood product manufacturing,300
2001,Quebec,Forestry and logging,13345
2001,Quebec,Paper manufacturing,34700
2001,Quebec,Support activities for forestry,4285
2001,Quebec,Wood product manufacturing,44090
2001,Saskatchewan,Forestry and logging,1035
2001,Saskatchewan,Paper manufacturing,1225
2001,Saskatchewan,Support activities for forestry,1365
2001,Saskatchewan,Wood product manufacturing,1820
2001,Yukon,Forestry and logging,40
2001,Yukon,Paper manufacturing,0
2001,Yukon,Support activities for forestry,10
2001,Yukon,Wood product manufacturing,35
2001,Northwest Territories including Nunavut,Forestry and logging,0
2001,Northwest Territories including Nunavut,Paper manufacturing,0
2001,Northwest Territories including Nunavut,Support activities for forestry,0
2001,Northwest Territories including Nunavut,Wood product manufacturing,0
2001,Nunavut,Forestry and logging,0
2001,Nunavut,Paper manufacturing,0
2001,Nunavut,Support activities for forestry,0
2001,Nunavut,Wood product manufacturing,0
2002,Canada,Forestry and logging,58340
2002,Canada,Paper manufacturing,95945
2002,Canada,Support activities for forestry,20345
2002,Canada,Wood product manufacturing,154740
2002,Alberta,Forestry and logging,2920
2002,Alberta,Paper manufacturing,3695
2002,Alberta,Support activities for forestry,1515
2002,Alberta,Wood product manufacturing,12050
2002,British Columbia,Forestry and logging,22730
2002,British Columbia,Paper manufacturing,11885
2002,British Columbia,Support activities for forestry,7535
2002,British Columbia,Wood product manufacturing,44610
2002,Manitoba,Forestry and logging,640
2002,Manitoba,Paper manufacturing,2335
2002,Manitoba,Support activities for forestry,755
2002,Manitoba,Wood product manufacturing,4165
2002,New Brunswick,Forestry and logging,4985
2002,New Brunswick,Paper manufacturing,4100
2002,New Brunswick,Support activities for forestry,1240
2002,New Brunswick,Wood product manufacturing,7010
2002,Newfoundland and Labrador,Forestry and logging,1210
2002,Newfoundland and Labrador,Paper manufacturing,1390
2002,Newfoundland and Labrador,Support activities for forestry,300
2002,Newfoundland and Labrador,Wood product manufacturing,655
2002,Northwest Territories,Forestry and logging,20
2002,Northwest Territories,Paper manufacturing,0
2002,Northwest Territories,Support activities for forestry,165
2002,Northwest Territories,Wood product manufacturing,10
2002,Nova Scotia,Forestry and logging,2305
2002,Nova Scotia,Paper manufacturing,2185
2002,Nova Scotia,Support activities for forestry,680
2002,Nova Scotia,Wood product manufacturing,3370
2002,Ontario,Forestry and logging,8590
2002,Ontario,Paper manufacturing,35315
2002,Ontario,Support activities for forestry,2205
2002,Ontario,Wood product manufacturing,35040
2002,Prince Edward Island,Forestry and logging,110
2002,Prince Edward Island,Paper manufacturing,75
2002,Prince Edward Island,Support activities for forestry,50
2002,Prince Edward Island,Wood product manufacturing,310
2002,Quebec,Forestry and logging,13755
2002,Quebec,Paper manufacturing,33605
2002,Quebec,Support activities for forestry,4520
2002,Quebec,Wood product manufacturing,45365
2002,Saskatchewan,Forestry and logging,1030
2002,Saskatchewan,Paper manufacturing,1360
2002,Saskatchewan,Support activities for forestry,1370
2002,Saskatchewan,Wood product manufacturing,2125
2002,Yukon,Forestry and logging,45
2002,Yukon,Paper manufacturing,0
2002,Yukon,Support activities for forestry,10
2002,Yukon,Wood product manufacturing,30
2002,Northwest Territories including Nunavut,Forestry and logging,0
2002,Northwest Territories including Nunavut,Paper manufacturing,0
2002,Northwest Territories including Nunavut,Support activities for forestry,0
2002,Northwest Territories including Nunavut,Wood product manufacturing,0
2002,Nunavut,Forestry and logging,0
2002,Nunavut,Paper manufacturing,0
2002,Nunavut,Support activities for forestry,0
2002,Nunavut,Wood product manufacturing,0
2003,Canada,Forestry and logging,55875
2003,Canada,Paper manufacturing,91640
2003,Canada,Support activities for forestry,21490
2003,Canada,Wood product manufacturing,151615
2003,Alberta,Forestry and logging,2550
2003,Alberta,Paper manufacturing,3800
2003,Alberta,Support activities for forestry,1555
2003,Alberta,Wood product manufacturing,12375
2003,British Columbia,Forestry and logging,22425
2003,British Columbia,Paper manufacturing,10500
2003,British Columbia,Support activities for forestry,7745
2003,British Columbia,Wood product manufacturing,42515
2003,Manitoba,Forestry and logging,615
2003,Manitoba,Paper manufacturing,2195
2003,Manitoba,Support activities for forestry,665
2003,Manitoba,Wood product manufacturing,4700
2003,New Brunswick,Forestry and logging,3940
2003,New Brunswick,Paper manufacturing,4135
2003,New Brunswick,Support activities for forestry,1345
2003,New Brunswick,Wood product manufacturing,6880
2003,Newfoundland and Labrador,Forestry and logging,970
2003,Newfoundland and Labrador,Paper manufacturing,1080
2003,Newfoundland and Labrador,Support activities for forestry,295
2003,Newfoundland and Labrador,Wood product manufacturing,580
2003,Northwest Territories,Forestry and logging,15
2003,Northwest Territories,Paper manufacturing,0
2003,Northwest Territories,Support activities for forestry,170
2003,Northwest Territories,Wood product manufacturing,5
2003,Nova Scotia,Forestry and logging,2230
2003,Nova Scotia,Paper manufacturing,1945
2003,Nova Scotia,Support activities for forestry,615
2003,Nova Scotia,Wood product manufacturing,3395
2003,Ontario,Forestry and logging,8130
2003,Ontario,Paper manufacturing,36390
2003,Ontario,Support activities for forestry,2665
2003,Ontario,Wood product manufacturing,36005
2003,Prince Edward Island,Forestry and logging,130
2003,Prince Edward Island,Paper manufacturing,60
2003,Prince Edward Island,Support activities for forestry,30
2003,Prince Edward Island,Wood product manufacturing,350
2003,Quebec,Forestry and logging,13860
2003,Quebec,Paper manufacturing,30040
2003,Quebec,Support activities for forestry,4975
2003,Quebec,Wood product manufacturing,42300
2003,Saskatchewan,Forestry and logging,975
2003,Saskatchewan,Paper manufacturing,1495
2003,Saskatchewan,Support activities for forestry,1420
2003,Saskatchewan,Wood product manufacturing,2480
2003,Yukon,Forestry and logging,35
2003,Yukon,Paper manufacturing,0
2003,Yukon,Support activities for forestry,10
2003,Yukon,Wood product manufacturing,30
2003,Northwest Territories including Nunavut,Forestry and logging,0
2003,Northwest Territories including Nunavut,Paper manufacturing,0
2003,Northwest Territories including Nunavut,Support activities for forestry,0
2003,Northwest Territories including Nunavut,Wood product manufacturing,0
2003,Nunavut,Forestry and logging,0
2003,Nunavut,Paper manufacturing,0
2003,Nunavut,Support activities for forestry,0
2003,Nunavut,Wood product manufacturing,0
2004,Canada,Forestry and logging,56100
2004,Canada,Paper manufacturing,90220
2004,Canada,Support activities for forestry,20295
2004,Canada,Wood product manufacturing,162735
2004,Alberta,Forestry and logging,2875
2004,Alberta,Paper manufacturing,3695
2004,Alberta,Support activities for forestry,1815
2004,Alberta,Wood product manufacturing,13635
2004,British Columbia,Forestry and logging,23185
2004,British Columbia,Paper manufacturing,12640
2004,British Columbia,Support activities for forestry,6885
2004,British Columbia,Wood product manufacturing,49430
2004,Manitoba,Forestry and logging,595
2004,Manitoba,Paper manufacturing,2025
2004,Manitoba,Support activities for forestry,645
2004,Manitoba,Wood product manufacturing,5045
2004,New Brunswick,Forestry and logging,3630
2004,New Brunswick,Paper manufacturing,4255
2004,New Brunswick,Support activities for forestry,1310
2004,New Brunswick,Wood product manufacturing,6805
2004,Newfoundland and Labrador,Forestry and logging,990
2004,Newfoundland and Labrador,Paper manufacturing,825
2004,Newfoundland and Labrador,Support activities for forestry,270
2004,Newfoundland and Labrador,Wood product manufacturing,595
2004,Northwest Territories,Forestry and logging,10
2004,Northwest Territories,Paper manufacturing,0
2004,Northwest Territories,Support activities for forestry,170
2004,Northwest Territories,Wood product manufacturing,15
2004,Nova Scotia,Forestry and logging,2285
2004,Nova Scotia,Paper manufacturing,2170
2004,Nova Scotia,Support activities for forestry,630
2004,Nova Scotia,Wood product manufacturing,3500
2004,Ontario,Forestry and logging,8010
2004,Ontario,Paper manufacturing,35020
2004,Ontario,Support activities for forestry,2230
2004,Ontario,Wood product manufacturing,36180
2004,Prince Edward Island,Forestry and logging,80
2004,Prince Edward Island,Paper manufacturing,105
2004,Prince Edward Island,Support activities for forestry,25
2004,Prince Edward Island,Wood product manufacturing,335
2004,Quebec,Forestry and logging,13570
2004,Quebec,Paper manufacturing,27860
2004,Quebec,Support activities for forestry,4965
2004,Quebec,Wood product manufacturing,43355
2004,Saskatchewan,Forestry and logging,840
2004,Saskatchewan,Paper manufacturing,1625
2004,Saskatchewan,Support activities for forestry,1340
2004,Saskatchewan,Wood product manufacturing,3825
2004,Yukon,Forestry and logging,30
2004,Yukon,Paper manufacturing,0
2004,Yukon,Support activities for forestry,10
2004,Yukon,Wood product manufacturing,15
2004,Northwest Territories including Nunavut,Forestry and logging,0
2004,Northwest Territories including Nunavut,Paper manufacturing,0
2004,Northwest Territories including Nunavut,Support activities for forestry,0
2004,Northwest Territories including Nunavut,Wood product manufacturing,0
2004,Nunavut,Forestry and logging,0
2004,Nunavut,Paper manufacturing,0
2004,Nunavut,Support activities for forestry,0
2004,Nunavut,Wood product manufacturing,0
2005,Canada,Forestry and logging,56670
2005,Canada,Paper manufacturing,90040
2005,Canada,Support activities for forestry,20240
2005,Canada,Wood product manufacturing,153985
2005,Alberta,Forestry and logging,2885
2005,Alberta,Paper manufacturing,3595
2005,Alberta,Support activities for forestry,1760
2005,Alberta,Wood product manufacturing,12330
2005,British Columbia,Forestry and logging,23385
2005,British Columbia,Paper manufacturing,13600
2005,British Columbia,Support activities for forestry,6820
2005,British Columbia,Wood product manufacturing,46420
2005,Manitoba,Forestry and logging,565
2005,Manitoba,Paper manufacturing,2020
2005,Manitoba,Support activities for forestry,635
2005,Manitoba,Wood product manufacturing,4860
2005,New Brunswick,Forestry and logging,3490
2005,New Brunswick,Paper manufacturing,2705
2005,New Brunswick,Support activities for forestry,1255
2005,New Brunswick,Wood product manufacturing,6725
2005,Newfoundland and Labrador,Forestry and logging,900
2005,Newfoundland and Labrador,Paper manufacturing,760
2005,Newfoundland and Labrador,Support activities for forestry,255
2005,Newfoundland and Labrador,Wood product manufacturing,545
2005,Northwest Territories,Forestry and logging,15
2005,Northwest Territories,Paper manufacturing,0
2005,Northwest Territories,Support activities for forestry,160
2005,Northwest Territories,Wood product manufacturing,10
2005,Nova Scotia,Forestry and logging,2195
2005,Nova Scotia,Paper manufacturing,2230
2005,Nova Scotia,Support activities for forestry,600
2005,Nova Scotia,Wood product manufacturing,3385
2005,Ontario,Forestry and logging,8565
2005,Ontario,Paper manufacturing,33565
2005,Ontario,Support activities for forestry,2605
2005,Ontario,Wood product manufacturing,34185
2005,Prince Edward Island,Forestry and logging,65
2005,Prince Edward Island,Paper manufacturing,125
2005,Prince Edward Island,Support activities for forestry,15
2005,Prince Edward Island,Wood product manufacturing,360
2005,Quebec,Forestry and logging,13900
2005,Quebec,Paper manufacturing,29960
2005,Quebec,Support activities for forestry,4955
2005,Quebec,Wood product manufacturing,41870
2005,Saskatchewan,Forestry and logging,680
2005,Saskatchewan,Paper manufacturing,1480
2005,Saskatchewan,Support activities for forestry,1170
2005,Saskatchewan,Wood product manufacturing,3270
2005,Yukon,Forestry and logging,25
2005,Yukon,Paper manufacturing,0
2005,Yukon,Support activities for forestry,10
2005,Yukon,Wood product manufacturing,25
2005,Northwest Territories including Nunavut,Forestry and logging,0
2005,Northwest Territories including Nunavut,Paper manufacturing,0
2005,Northwest Territories including Nunavut,Support activities for forestry,0
2005,Northwest Territories including Nunavut,Wood product manufacturing,0
2005,Nunavut,Forestry and logging,0
2005,Nunavut,Paper manufacturing,0
2005,Nunavut,Support activities for forestry,0
2005,Nunavut,Wood product manufacturing,0
2006,Canada,Forestry and logging,49955
2006,Canada,Paper manufacturing,83210
2006,Canada,Support activities for forestry,21390
2006,Canada,Wood product manufacturing,136805
2006,Alberta,Forestry and logging,3030
2006,Alberta,Paper manufacturing,3850
2006,Alberta,Support activities for forestry,1885
2006,Alberta,Wood product manufacturing,12505
2006,British Columbia,Forestry and logging,18770
2006,British Columbia,Paper manufacturing,13350
2006,British Columbia,Support activities for forestry,7720
2006,British Columbia,Wood product manufacturing,40200
2006,Manitoba,Forestry and logging,555
2006,Manitoba,Paper manufacturing,1740
2006,Manitoba,Support activities for forestry,610
2006,Manitoba,Wood product manufacturing,4435
2006,New Brunswick,Forestry and logging,3210
2006,New Brunswick,Paper manufacturing,2795
2006,New Brunswick,Support activities for forestry,1250
2006,New Brunswick,Wood product manufacturing,6065
2006,Newfoundland and Labrador,Forestry and logging,845
2006,Newfoundland and Labrador,Paper manufacturing,1155
2006,Newfoundland and Labrador,Support activities for forestry,250
2006,Newfoundland and Labrador,Wood product manufacturing,460
2006,Northwest Territories,Forestry and logging,15
2006,Northwest Territories,Paper manufacturing,0
2006,Northwest Territories,Support activities for forestry,170
2006,Northwest Territories,Wood product manufacturing,0
2006,Nova Scotia,Forestry and logging,1910
2006,Nova Scotia,Paper manufacturing,1895
2006,Nova Scotia,Support activities for forestry,520
2006,Nova Scotia,Wood product manufacturing,3605
2006,Ontario,Forestry and logging,7725
2006,Ontario,Paper manufacturing,30145
2006,Ontario,Support activities for forestry,2635
2006,Ontario,Wood product manufacturing,30525
2006,Prince Edward Island,Forestry and logging,65
2006,Prince Edward Island,Paper manufacturing,120
2006,Prince Edward Island,Support activities for forestry,10
2006,Prince Edward Island,Wood product manufacturing,385
2006,Quebec,Forestry and logging,13205
2006,Quebec,Paper manufacturing,27800
2006,Quebec,Support activities for forestry,5105
2006,Quebec,Wood product manufacturing,36670
2006,Saskatchewan,Forestry and logging,605
2006,Saskatchewan,Paper manufacturing,360
2006,Saskatchewan,Support activities for forestry,1225
2006,Saskatchewan,Wood product manufacturing,1925
2006,Yukon,Forestry and logging,20
2006,Yukon,Paper manufacturing,0
2006,Yukon,Support activities for forestry,10
2006,Yukon,Wood product manufacturing,30
2006,Northwest Territories including Nunavut,Forestry and logging,0
2006,Northwest Territories including Nunavut,Paper manufacturing,0
2006,Northwest Territories including Nunavut,Support activities for forestry,0
2006,Northwest Territories including Nunavut,Wood product manufacturing,0
2006,Nunavut,Forestry and logging,0
2006,Nunavut,Paper manufacturing,0
2006,Nunavut,Support activities for forestry,0
2006,Nunavut,Wood product manufacturing,0
2007,Canada,Forestry and logging,44940
2007,Canada,Paper manufacturing,77780
2007,Canada,Support activities for forestry,21145
2007,Canada,Wood product manufacturing,114635
2007,Alberta,Forestry and logging,2700
2007,Alberta,Paper manufacturing,3660
2007,Alberta,Support activities for forestry,1800
2007,Alberta,Wood product manufacturing,11255
2007,British Columbia,Forestry and logging,16665
2007,British Columbia,Paper manufacturing,12230
2007,British Columbia,Support activities for forestry,7725
2007,British Columbia,Wood product manufacturing,35125
2007,Manitoba,Forestry and logging,540
2007,Manitoba,Paper manufacturing,1710
2007,Manitoba,Support activities for forestry,620
2007,Manitoba,Wood product manufacturing,4030
2007,New Brunswick,Forestry and logging,3045
2007,New Brunswick,Paper manufacturing,4035
2007,New Brunswick,Support activities for forestry,1245
2007,New Brunswick,Wood product manufacturing,4780
2007,Newfoundland and Labrador,Forestry and logging,800
2007,Newfoundland and Labrador,Paper manufacturing,1095
2007,Newfoundland and Labrador,Support activities for forestry,245
2007,Newfoundland and Labrador,Wood product manufacturing,485
2007,Northwest Territories,Forestry and logging,15
2007,Northwest Territories,Paper manufacturing,0
2007,Northwest Territories,Support activities for forestry,170
2007,Northwest Territories,Wood product manufacturing,0
2007,Nova Scotia,Forestry and logging,1875
2007,Nova Scotia,Paper manufacturing,2540
2007,Nova Scotia,Support activities for forestry,525
2007,Nova Scotia,Wood product manufacturing,3070
2007,Ontario,Forestry and logging,7115
2007,Ontario,Paper manufacturing,27200
2007,Ontario,Support activities for forestry,2670
2007,Ontario,Wood product manufacturing,23855
2007,Prince Edward Island,Forestry and logging,55
2007,Prince Edward Island,Paper manufacturing,110
2007,Prince Edward Island,Support activities for forestry,25
2007,Prince Edward Island,Wood product manufacturing,255
2007,Quebec,Forestry and logging,11620
2007,Quebec,Paper manufacturing,24755
2007,Quebec,Support activities for forestry,4955
2007,Quebec,Wood product manufacturing,30520
2007,Saskatchewan,Forestry and logging,490
2007,Saskatchewan,Paper manufacturing,445
2007,Saskatchewan,Support activities for forestry,1155
2007,Saskatchewan,Wood product manufacturing,1245
2007,Yukon,Forestry and logging,20
2007,Yukon,Paper manufacturing,0
2007,Yukon,Support activities for forestry,10
2007,Yukon,Wood product manufacturing,15
2007,Northwest Territories including Nunavut,Forestry and logging,0
2007,Northwest Territories including Nunavut,Paper manufacturing,0
2007,Northwest Territories including Nunavut,Support activities for forestry,0
2007,Northwest Territories including Nunavut,Wood product manufacturing,0
2007,Nunavut,Forestry and logging,0
2007,Nunavut,Paper manufacturing,0
2007,Nunavut,Support activities for forestry,0
2007,Nunavut,Wood product manufacturing,0
2008,Canada,Forestry and logging,41920
2008,Canada,Paper manufacturing,70560
2008,Canada,Support activities for forestry,20610
2008,Canada,Wood product manufacturing,102075
2008,Alberta,Forestry and logging,2540
2008,Alberta,Paper manufacturing,3295
2008,Alberta,Support activities for forestry,1815
2008,Alberta,Wood product manufacturing,9600
2008,British Columbia,Forestry and logging,13990
